IROWID,iVehicleID,vLat,vLong,vAccuracy,vDirection,dSpeed,vUpdateReason,dtLastUpdated,dtDeviceTime,vVehDirection
8134661,684,38.568069,-92.16526,10,41.56,0.74,APC,42:32.7,7/3/2024 6:42:28,NE
8134674,684,38.568069,-92.165199,10,90,2.41,APC,42:38.9,7/3/2024 6:42:31,E
8134675,684,38.568054,-92.165176,10,129.83,2.04,APC,42:38.9,7/3/2024 6:42:34,SE
8134676,684,38.568066,-92.165192,10,313.81,0,APC,42:39.8,7/3/2024 6:42:37,NW
8134687,684,38.568058,-92.165199,10,214.38,0,APC,42:46.8,7/3/2024 6:42:40,SW
8134688,684,38.568054,-92.165176,10,102.54,2.59,APC,42:46.8,7/3/2024 6:42:43,E
8134701,684,38.568031,-92.165146,10,134.44,3.89,APC,42:53.7,7/3/2024 6:42:46,SE
8134702,684,38.56802,-92.165138,10,150.38,4.07,APC,42:53.7,7/3/2024 6:42:49,SE
8134724,684,38.567989,-92.165115,10,149.88,5.56,APC,43:05.8,7/3/2024 6:42:52,SE
8134725,684,38.567947,-92.165054,10,131.37,8.7,APC,43:05.8,7/3/2024 6:42:55,SE
8134726,684,38.567905,-92.165001,10,135.39,8.7,APC,43:05.9,7/3/2024 6:42:58,SE
8134727,684,38.567848,-92.164925,10,133.81,13.15,APC,43:05.9,7/3/2024 6:43:01,SE
8134757,684,38.567783,-92.164825,10,129.74,12.96,APC,43:18.7,7/3/2024 6:43:04,SE
8134758,684,38.567711,-92.164719,10,130.98,16.48,APC,43:18.7,7/3/2024 6:43:07,SE
8134759,684,38.567642,-92.164619,10,131.43,8.7,APC,43:18.7,7/3/2024 6:43:10,SE
8134760,684,38.567608,-92.164581,10,138.85,6.48,APC,43:18.7,7/3/2024 6:43:13,SE
8134761,684,38.567524,-92.164566,10,172.05,15.37,APC,43:18.9,7/3/2024 6:43:16,S
8134790,684,38.567402,-92.164726,10,225.72,21.67,APC,43:31.8,7/3/2024 6:43:19,SW
8134791,684,38.567257,-92.164917,10,225.84,30.19,APC,43:31.8,7/3/2024 6:43:22,SW
8134792,684,38.567066,-92.165146,10,223.15,35.93,APC,43:31.8,7/3/2024 6:43:25,SW
8134793,684,38.56686,-92.165375,10,221,36.3,APC,43:31.9,7/3/2024 6:43:28,SW
8134811,684,38.566647,-92.165634,10,223.55,40.56,APC,43:39.8,7/3/2024 6:43:31,SW
8134812,684,38.566418,-92.165894,10,221.6,40.56,APC,43:39.8,7/3/2024 6:43:34,SW
8134813,684,38.566212,-92.16613,10,221.85,34.82,APC,43:39.9,7/3/2024 6:43:37,SW
8134825,684,38.566036,-92.166313,10,219.11,28.71,APC,43:46.7,7/3/2024 6:43:40,SW
8134826,684,38.565907,-92.166466,10,222.84,22.22,APC,43:46.9,7/3/2024 6:43:43,SW
8134836,684,38.565819,-92.166565,10,221.34,13.7,APC,43:52.8,7/3/2024 6:43:46,SW
8134837,684,38.565765,-92.166603,10,208.82,6.3,APC,43:52.8,7/3/2024 6:43:49,SW
8134846,684,38.565739,-92.166634,10,222.99,1.85,APC,43:59.8,7/3/2024 6:43:52,SW
8134847,684,38.565739,-92.166634,10,0,0,APC,43:59.8,7/3/2024 6:43:55,SW
8134877,684,38.565735,-92.166641,10,233.84,0,APC,44:11.7,7/3/2024 6:43:58,SW
8134878,684,38.565739,-92.166649,10,302.6,0,APC,44:11.8,7/3/2024 6:44:01,NW
8134879,684,38.565742,-92.166649,10,0,0,APC,44:11.8,7/3/2024 6:44:04,NW
8134880,684,38.565739,-92.166672,10,260.53,3.33,APC,44:11.9,7/3/2024 6:44:07,W
8134901,684,38.565697,-92.166718,10,220.58,8.52,APC,44:18.9,7/3/2024 6:44:10,SW
8134902,684,38.565643,-92.166763,10,213.09,6.11,APC,44:19.0,7/3/2024 6:44:13,SW
8134925,684,38.565613,-92.166824,10,237.83,10.37,APC,44:30.8,7/3/2024 6:44:16,SW
8134926,684,38.565617,-92.166962,10,272.12,17.41,APC,44:30.9,7/3/2024 6:44:19,W
8134927,684,38.565792,-92.167152,10,319.67,30.56,APC,44:30.9,7/3/2024 6:44:22,NW
8134928,684,38.565987,-92.167435,10,311.39,40.56,APC,44:31.0,7/3/2024 6:44:25,NW
8134929,684,38.566193,-92.167725,10,312.26,40.93,APC,44:31.0,7/3/2024 6:44:28,NW
8134947,684,38.566387,-92.167984,10,313.77,37.6,APC,44:38.7,7/3/2024 6:44:31,NW
8134948,684,38.566582,-92.168251,10,313.05,38.34,APC,44:38.8,7/3/2024 6:44:34,NW
8134959,684,38.566837,-92.168602,10,312.9,35.74,APC,44:45.8,7/3/2024 6:44:37,NW
8134960,684,38.567024,-92.168846,10,314.43,34.82,APC,44:45.9,7/3/2024 6:44:41,NW
8134961,684,38.567127,-92.168983,10,313.88,28.71,APC,44:46.1,7/3/2024 6:44:43,NW
8134973,684,38.567219,-92.169113,10,312.15,12.96,APC,44:52.8,7/3/2024 6:44:46,NW
8134974,684,38.567249,-92.169151,10,315.28,4.07,APC,44:52.9,7/3/2024 6:44:49,NW
8135001,684,38.567253,-92.169159,10,302.6,0,APC,45:04.7,7/3/2024 6:44:52,NW
8135002,684,38.567253,-92.169159,10,0,0,APC,45:04.8,7/3/2024 6:44:55,NW
8135003,684,38.567253,-92.169151,10,90,0,APC,45:04.9,7/3/2024 6:44:58,E
8135004,684,38.56728,-92.169182,10,318.09,8.7,APC,45:04.9,7/3/2024 6:45:01,NW
8135037,684,38.567356,-92.169289,10,312.25,16.48,APC,45:17.8,7/3/2024 6:45:04,NW
8135038,684,38.567463,-92.169342,10,338.83,16.3,APC,45:17.8,7/3/2024 6:45:07,N
8135039,684,38.567589,-92.169167,10,47.36,23.34,APC,45:17.9,7/3/2024 6:45:10,NE
8135040,684,38.567764,-92.168945,10,44.77,35.37,APC,45:17.9,7/3/2024 6:45:13,NE
8135041,684,38.568001,-92.168671,10,42.11,45.74,APC,45:19.2,7/3/2024 6:45:16,NE
8135051,684,38.568268,-92.168365,10,41.86,45.93,APC,45:25.7,7/3/2024 6:45:19,NE
8135052,684,38.568501,-92.168098,10,41.86,40.37,APC,45:25.7,7/3/2024 6:45:22,NE
8135068,684,38.56871,-92.167847,10,43.2,36.3,APC,45:32.8,7/3/2024 6:45:25,NE
8135069,684,38.568851,-92.167648,10,47.82,26.11,APC,45:32.8,7/3/2024 6:45:28,NE
8135080,684,38.568947,-92.167542,10,40.8,12.78,APC,45:38.8,7/3/2024 6:45:31,NE
8135081,684,38.568993,-92.167496,10,38.02,7.04,APC,45:38.8,7/3/2024 6:45:34,NE
8135100,684,38.569046,-92.16745,10,34.16,15.37,APC,45:45.7,7/3/2024 6:45:37,NE
8135101,684,38.569202,-92.167274,10,41.42,30.93,APC,45:45.8,7/3/2024 6:45:40,NE
8135127,684,38.569412,-92.16703,10,42.25,40,APC,45:58.0,7/3/2024 6:45:43,NE
8135128,684,38.569653,-92.166756,10,41.63,43.71,APC,45:58.0,7/3/2024 6:45:46,NE
8135129,684,38.569901,-92.166458,10,43.21,44.08,APC,45:58.0,7/3/2024 6:45:49,NE
8135130,684,38.570099,-92.166252,10,39.13,30.74,APC,45:58.1,7/3/2024 6:45:52,NE
8135131,684,38.570229,-92.1661,10,42.43,20.93,APC,45:58.2,7/3/2024 6:45:55,NE
8135143,684,38.570293,-92.166023,10,43.25,8.15,APC,46:04.7,7/3/2024 6:45:58,NE
8135144,684,38.570324,-92.166008,10,20.72,3.7,APC,46:04.8,7/3/2024 6:46:01,N
8135159,684,38.570339,-92.165993,10,38.02,3.52,APC,46:10.7,7/3/2024 6:46:04,NE
8135160,684,38.570408,-92.165955,10,23.3,15,APC,46:10.7,7/3/2024 6:46:07,NE
8135173,684,38.57056,-92.165993,10,348.94,21.11,APC,46:18.6,7/3/2024 6:46:10,N
8135174,684,38.570702,-92.166183,10,313.71,28.52,APC,46:18.7,7/3/2024 6:46:13,NW
8135175,684,38.570862,-92.166428,10,309.87,34.45,APC,46:19.2,7/3/2024 6:46:16,NW
8135191,684,38.571053,-92.166687,10,313.33,37.6,APC,46:25.7,7/3/2024 6:46:19,NW
8135192,684,38.571255,-92.166969,10,312.5,42.04,APC,46:25.8,7/3/2024 6:46:22,NW
8135205,684,38.571487,-92.16729,10,312.75,48.34,APC,46:31.7,7/3/2024 6:46:25,NW
8135206,684,38.571743,-92.167656,10,311.82,52.97,APC,46:31.7,7/3/2024 6:46:28,NW
8135224,684,38.572018,-92.168037,10,312.71,55.37,APC,46:38.7,7/3/2024 6:46:31,NW
8135225,684,38.572292,-92.168427,10,311.94,55,APC,46:38.7,7/3/2024 6:46:34,NW
8135237,684,38.572578,-92.168823,10,312.73,55.75,APC,46:45.8,7/3/2024 6:46:37,NW
8135238,684,38.572865,-92.16922,10,312.76,53.71,APC,46:45.8,7/3/2024 6:46:40,NW
8135253,684,38.573128,-92.169586,10,312.59,52.23,APC,46:51.8,7/3/2024 6:46:43,NW
8135254,684,38.573395,-92.169952,10,313.02,51.12,APC,46:51.8,7/3/2024 6:46:46,NW
8135255,684,38.573635,-92.170273,10,313.72,44.63,APC,46:52.3,7/3/2024 6:46:49,NW
8135270,684,38.573853,-92.170578,10,312.43,40.56,APC,46:59.7,7/3/2024 6:46:52,NW
8135271,684,38.574039,-92.170837,10,312.57,36.11,APC,46:59.7,7/3/2024 6:46:55,NW
8135278,684,38.574215,-92.171089,10,311.78,35.74,APC,47:05.7,7/3/2024 6:46:58,NW
8135279,684,38.574467,-92.171425,10,313.81,32.41,APC,47:05.7,7/3/2024 6:47:01,NW
8135293,684,38.574608,-92.171684,10,304.85,23.71,APC,47:11.7,7/3/2024 6:47:05,NW
8135294,684,38.574703,-92.171738,10,336.04,3.52,APC,47:11.8,7/3/2024 6:47:10,NW
8135310,684,38.574699,-92.171738,10,180,0,APC,47:17.7,7/3/2024 6:47:13,S
8135311,684,38.574699,-92.171745,10,270,0,APC,47:17.8,7/3/2024 6:47:16,W
8135312,684,38.574692,-92.171745,10,180,0,APC,47:19.4,7/3/2024 6:47:19,S
8135328,684,38.574684,-92.171745,10,180,0,APC,47:25.8,7/3/2024 6:47:22,S
8135329,684,38.574684,-92.171745,10,0,0,APC,47:25.8,7/3/2024 6:47:25,S
8135357,684,38.574684,-92.171745,10,0,0,APC,47:37.8,7/3/2024 6:47:28,S
8135358,684,38.574684,-92.171745,10,0,0,APC,47:37.8,7/3/2024 6:47:31,S
8135359,684,38.574684,-92.171745,10,0,0,APC,47:37.9,7/3/2024 6:47:34,S
8135360,684,38.574677,-92.171761,10,240.77,1.85,APC,47:37.9,7/3/2024 6:47:37,SW
8135375,684,38.574677,-92.171768,10,270,0,APC,47:45.7,7/3/2024 6:47:40,W
8135376,684,38.574673,-92.171776,10,237.4,0,APC,47:45.8,7/3/2024 6:47:43,SW
8135386,684,38.574677,-92.171776,10,0,0,APC,47:51.7,7/3/2024 6:47:46,SW
8135387,684,38.574677,-92.171776,10,0,0,APC,47:51.8,7/3/2024 6:47:49,SW
8135416,684,38.574677,-92.171776,10,0,0,APC,48:03.7,7/3/2024 6:47:55,SW
8135417,684,38.574677,-92.171776,10,0,0,APC,48:03.8,7/3/2024 6:47:58,SW
8135418,684,38.574677,-92.171776,10,0,0,APC,48:04.5,7/3/2024 6:48:01,SW
8135435,684,38.574677,-92.171776,10,0,0,APC,48:11.7,7/3/2024 6:48:04,SW
8135436,684,38.57468,-92.171776,10,0,0,APC,48:11.8,7/3/2024 6:48:07,SW
8135443,684,38.57468,-92.171776,10,0,0,APC,48:17.8,7/3/2024 6:48:10,SW
8135444,684,38.57468,-92.171776,10,0,0,APC,48:17.9,7/3/2024 6:48:13,SW
8135461,684,38.57468,-92.171776,10,0,0,APC,48:23.7,7/3/2024 6:48:16,SW
8135462,684,38.57468,-92.171776,10,0,0,APC,48:23.7,7/3/2024 6:48:19,SW
8135463,684,38.574677,-92.171776,10,180,0,APC,48:25.6,7/3/2024 6:48:22,S
8135514,684,38.57468,-92.171783,10,298.73,3.15,APC,48:50.7,7/3/2024 6:48:25,NW
8135515,684,38.574699,-92.171837,10,294.23,9.45,APC,48:50.7,7/3/2024 6:48:28,NW
8135516,684,38.574795,-92.171974,10,311.87,20.93,APC,48:50.8,7/3/2024 6:48:31,NW
8135517,684,38.574924,-92.17215,10,313.15,26.11,APC,48:50.8,7/3/2024 6:48:34,NW
8135518,684,38.575062,-92.172348,10,311.72,28.15,APC,48:50.8,7/3/2024 6:48:37,NW
8135519,684,38.575222,-92.172546,10,315.95,32.6,APC,48:50.9,7/3/2024 6:48:40,NW
8135520,684,38.575413,-92.172806,10,313.22,37.97,APC,48:50.9,7/3/2024 6:48:43,NW
8135521,684,38.575615,-92.173073,10,314.06,38.15,APC,48:50.9,7/3/2024 6:48:46,NW
8135536,684,38.575794,-92.173302,10,315,31.3,APC,48:58.8,7/3/2024 6:48:49,NW
8135537,684,38.575916,-92.173454,10,315.75,17.04,APC,48:58.8,7/3/2024 6:48:52,NW
8135538,684,38.575974,-92.173523,10,317.08,10.19,APC,48:58.9,7/3/2024 6:48:55,NW
8135549,684,38.576069,-92.1735,10,10.72,16.11,APC,49:04.7,7/3/2024 6:48:58,N
8135550,684,38.576164,-92.173363,10,48.43,19.45,APC,49:04.8,7/3/2024 6:49:01,NE
8135551,684,38.576302,-92.173187,10,44.92,26.67,APC,49:07.6,7/3/2024 6:49:04,NE
8135610,684,38.576485,-92.173004,10,38.02,31.11,APC,49:31.7,7/3/2024 6:49:07,NE
8135611,684,38.57666,-92.172813,10,40.47,30.37,APC,49:31.7,7/3/2024 6:49:10,NE
8135612,684,38.576797,-92.172646,10,43.62,22.41,APC,49:31.8,7/3/2024 6:49:13,NE
8135613,684,38.576897,-92.172539,10,39.91,15.56,APC,49:31.8,7/3/2024 6:49:16,NE
8135614,684,38.576996,-92.172485,10,23.09,15.74,APC,49:31.9,7/3/2024 6:49:19,NE
8135615,684,38.577148,-92.172607,10,327.89,18.71,APC,49:31.9,7/3/2024 6:49:22,NW
8135616,684,38.577232,-92.172874,10,291.92,20.37,APC,49:31.9,7/3/2024 6:49:26,W
8135617,684,38.577457,-92.17308,10,324.41,31.11,APC,49:31.9,7/3/2024 6:49:31,NW
8135631,684,38.577644,-92.17334,10,312.61,37.78,APC,49:39.7,7/3/2024 6:49:34,NW
8135632,684,38.577839,-92.173607,10,313.05,39.08,APC,49:39.8,7/3/2024 6:49:37,NW
8135652,684,38.578037,-92.173889,10,311.93,37.78,APC,49:45.9,7/3/2024 6:49:40,NW
8135653,684,38.578236,-92.174149,10,314.39,35,APC,49:45.9,7/3/2024 6:49:43,NW
8135673,684,38.578403,-92.174393,10,311.2,32.22,APC,49:57.7,7/3/2024 6:49:46,NW
8135674,684,38.578552,-92.174591,10,313.91,26.3,APC,49:57.8,7/3/2024 6:49:49,NW
8135675,684,38.578678,-92.174751,10,315.21,20.93,APC,49:57.8,7/3/2024 6:49:52,NW
8135676,684,38.578751,-92.174858,10,311.11,12.41,APC,49:57.8,7/3/2024 6:49:55,NW
8135677,684,38.578781,-92.174896,10,315.28,3.33,APC,49:58.8,7/3/2024 6:49:58,NW
8135726,684,38.578785,-92.174896,10,0,0,APC,50:18.8,7/3/2024 6:50:01,NW
8135727,684,38.578793,-92.174889,10,34.37,0,APC,50:18.8,7/3/2024 6:50:04,NE
8135728,684,38.578796,-92.174889,10,0,0,APC,50:18.8,7/3/2024 6:50:07,NE
8135729,684,38.5788,-92.174889,10,0,0,APC,50:18.8,7/3/2024 6:50:10,NE
8135730,684,38.5788,-92.174889,10,0,0,APC,50:18.9,7/3/2024 6:50:13,NE
8135731,684,38.578842,-92.17495,10,311.37,14.45,APC,50:18.9,7/3/2024 6:50:16,NW
8135732,684,38.578964,-92.175125,10,311.73,25,APC,50:19.8,7/3/2024 6:50:19,NW
8135747,684,38.579105,-92.175316,10,313.36,30,APC,50:26.8,7/3/2024 6:50:22,NW
8135748,684,38.579277,-92.175568,10,311.12,37.23,APC,50:26.8,7/3/2024 6:50:25,NW
8135756,684,38.579491,-92.17588,10,311.26,44.08,APC,50:32.7,7/3/2024 6:50:28,NW
8135757,684,38.579731,-92.176208,10,313.11,47.97,APC,50:32.8,7/3/2024 6:50:31,NW
8135771,684,38.579975,-92.176575,10,310.38,50.56,APC,50:38.7,7/3/2024 6:50:34,NW
8135772,684,38.580238,-92.176941,10,312.59,53.89,APC,50:38.8,7/3/2024 6:50:37,NW
8135773,684,38.580513,-92.17733,10,312.12,55.19,APC,50:40.9,7/3/2024 6:50:40,NW
8135819,684,38.580795,-92.177727,10,312.26,56.12,APC,50:59.9,7/3/2024 6:50:43,NW
8135820,684,38.581081,-92.178123,10,312.73,55.75,APC,50:59.9,7/3/2024 6:50:46,NW
8135821,684,38.58136,-92.17852,10,311.96,56.3,APC,50:59.9,7/3/2024 6:50:49,NW
8135822,684,38.581638,-92.178917,10,311.85,54.82,APC,50:59.9,7/3/2024 6:50:52,NW
8135823,684,38.581894,-92.179283,10,311.82,51.3,APC,51:00.0,7/3/2024 6:50:55,NW
8135824,684,38.582146,-92.179626,10,313.22,44.82,APC,51:00.0,7/3/2024 6:50:58,NW
8135838,684,38.582329,-92.179886,10,312,34.63,APC,51:07.8,7/3/2024 6:51:01,NW
8135839,684,38.582458,-92.180061,10,313.32,22.04,APC,51:07.9,7/3/2024 6:51:04,NW
8135848,684,38.58252,-92.180191,10,301.39,16.11,APC,51:13.7,7/3/2024 6:51:07,NW
8135849,684,38.582489,-92.180359,10,256.72,19.63,APC,51:13.7,7/3/2024 6:51:10,W
8135850,684,38.582363,-92.180489,10,218.89,21.3,APC,51:13.9,7/3/2024 6:51:13,SW
8135864,684,38.582222,-92.180649,10,221.57,28.52,APC,51:19.8,7/3/2024 6:51:16,SW
8135879,684,38.581879,-92.181046,10,222.14,28.34,APC,51:25.9,7/3/2024 6:51:22,SW
8135894,684,38.581757,-92.181236,10,230.6,21.3,APC,51:33.7,7/3/2024 6:51:25,SW
8135895,684,38.581676,-92.181328,10,221.6,9.82,APC,51:33.8,7/3/2024 6:51:28,SW
8135914,684,38.581635,-92.181412,10,238.02,13.33,APC,51:39.7,7/3/2024 6:51:31,SW
8135915,684,38.58168,-92.181541,10,294.05,20.37,APC,51:39.7,7/3/2024 6:51:34,NW
8135931,684,38.581821,-92.18174,10,312.19,31.48,APC,51:45.7,7/3/2024 6:51:37,NW
8135932,684,38.58202,-92.182014,10,312.89,41.3,APC,51:45.8,7/3/2024 6:51:40,NW
8135933,684,38.582348,-92.182465,10,312.93,50.93,APC,51:47.0,7/3/2024 6:51:43,NW
8135944,684,38.582603,-92.183037,10,299.7,48.89,APC,51:53.8,7/3/2024 6:51:47,NW
8135945,684,38.582977,-92.183327,10,328.78,39.08,APC,51:53.8,7/3/2024 6:51:52,NW
8135953,684,38.583122,-92.18354,10,311.05,27.22,APC,51:59.8,7/3/2024 6:51:55,NW
8135954,684,38.583233,-92.183685,10,314.4,18.89,APC,51:59.8,7/3/2024 6:51:58,NW
8135968,684,38.583302,-92.183784,10,311.72,10,APC,52:05.7,7/3/2024 6:52:01,NW
8135969,684,38.583351,-92.183868,10,306.73,13.15,APC,52:05.8,7/3/2024 6:52:04,NW
8135985,684,38.58334,-92.184059,10,265.79,22.59,APC,52:11.7,7/3/2024 6:52:07,W
8135986,684,38.583275,-92.184219,10,242.54,15.37,APC,52:11.7,7/3/2024 6:52:10,SW
8136001,684,38.583221,-92.184319,10,235.36,17.04,APC,52:19.7,7/3/2024 6:52:13,SW
8136002,684,38.58313,-92.184555,10,243.74,28.34,APC,52:19.7,7/3/2024 6:52:16,SW
8136011,684,38.583038,-92.184937,10,252.88,41.48,APC,52:25.8,7/3/2024 6:52:19,W
8136012,684,38.583015,-92.185379,10,266.19,45.74,APC,52:25.8,7/3/2024 6:52:22,W
8136032,684,38.583004,-92.185806,10,268.11,44.08,APC,52:31.7,7/3/2024 6:52:25,W
8136033,684,38.582993,-92.18618,10,267.85,35.93,APC,52:31.8,7/3/2024 6:52:28,W
8136050,684,38.583,-92.186455,10,271.87,25.37,APC,52:37.7,7/3/2024 6:52:31,W
8136051,684,38.583004,-92.186592,10,272.14,7.78,APC,52:37.8,7/3/2024 6:52:34,W
8136052,684,38.583,-92.186584,10,122.6,0,APC,52:38.1,7/3/2024 6:52:37,SE
8136064,684,38.582993,-92.186592,10,221.78,0,APC,52:45.8,7/3/2024 6:52:40,SW
8136065,684,38.582989,-92.186584,10,122.6,0,APC,52:45.8,7/3/2024 6:52:43,SE
8136076,684,38.582989,-92.186577,10,90,0,APC,52:51.6,7/3/2024 6:52:46,E
8136077,684,38.582985,-92.186577,10,180,0,APC,52:51.7,7/3/2024 6:52:49,S
