IROWID,iVehicleID,Lat,Lng,vAccuracy,vDirection,Speed,vUpdateReason,dtLastUpdated,dtDeviceTime,vVehDirection,Bearing,DirectionDegrees,Predicted_Label,Prediction_Confidence
8134661,684,38.568069,-92.16526,10,41.56,0.74,APC,42:32.7,7/3/2024 6:42:28,NE,90.0,90.0,2_2,0.5958719676361411
8134674,684,38.568069,-92.165199,10,90.0,2.41,APC,42:38.9,7/3/2024 6:42:31,E,129.83,129.83,1_2,0.7122409822830712
8134675,684,38.568054,-92.165176,10,129.83,2.04,APC,42:38.9,7/3/2024 6:42:34,SE,313.81,313.81,1_284,0.9323214815045873
8134676,684,38.568066,-92.165192,10,313.81,0.0,APC,42:39.8,7/3/2024 6:42:37,NW,214.38,214.38,2_2,0.4019057791849783
8134687,684,38.568058,-92.165199,10,214.38,0.0,APC,42:46.8,7/3/2024 6:42:40,SW,102.54,102.54,1_2,0.6218732126775651
8134688,684,38.568054,-92.165176,10,102.54,2.59,APC,42:46.8,7/3/2024 6:42:43,E,134.44,134.44,1_2,0.6605015735289296
8134701,684,38.568031,-92.165146,10,134.44,3.89,APC,42:53.7,7/3/2024 6:42:46,SE,150.38,150.38,2_2,0.7039553331481327
8134702,684,38.56802,-92.165138,10,150.38,4.07,APC,42:53.7,7/3/2024 6:42:49,SE,149.88,149.88,2_2,0.698458245934968
8134724,684,38.567989,-92.165115,10,149.88,5.56,APC,43:05.8,7/3/2024 6:42:52,SE,131.37,131.37,1_2,0.2954736155214188
8134725,684,38.567947,-92.165054,10,131.37,8.7,APC,43:05.8,7/3/2024 6:42:55,SE,135.39,135.39,1_3,0.7000031613544937
8134726,684,38.567905,-92.165001,10,135.39,8.7,APC,43:05.9,7/3/2024 6:42:58,SE,133.81,133.81,1_3,0.7541369587095869
8134727,684,38.567848,-92.164925,10,133.81,13.15,APC,43:05.9,7/3/2024 6:43:01,SE,129.74,129.74,1_3,0.9682655188270907
8134757,684,38.567783,-92.164825,10,129.74,12.96,APC,43:18.7,7/3/2024 6:43:04,SE,130.98,130.98,1_3,0.9634106624207632
8134758,684,38.567711,-92.164719,10,130.98,16.48,APC,43:18.7,7/3/2024 6:43:07,SE,131.43,131.43,1_3,0.9682097530445576
8134759,684,38.567642,-92.164619,10,131.43,8.7,APC,43:18.7,7/3/2024 6:43:10,SE,138.85,138.85,1_3,0.9082908711580988
8134760,684,38.567608,-92.164581,10,138.85,6.48,APC,43:18.7,7/3/2024 6:43:13,SE,172.05,172.05,1_3,0.7218055978807251
8134761,684,38.567524,-92.164566,10,172.05,15.37,APC,43:18.9,7/3/2024 6:43:16,S,225.72,225.72,1_3,0.9929996846096809
8134790,684,38.567402,-92.164726,10,225.72,21.67,APC,43:31.8,7/3/2024 6:43:19,SW,225.84,225.84,1_3,0.9947078555382626
